model,accuracy,macro_f1,exact_match,purity,silhouette
Logistic Regression (TF-IDF per-option),0.2017983155019349,0.2014568783016743,0.2017983155019349,,
SVM (LinearSVC + Calibrated),0.2999089460505349,0.24975681281848047,0.2999089460505349,,
Naive Bayes (ComplementNB + OHE),0.22490325517869336,0.2237154123736605,0.22490325517869336,,
Random Forest (dense features),0.6585476895060324,0.6556311642074937,0.6585476895060324,,
XGBoost (dense features),0.718757113589802,0.7158172140051376,0.718757113589802,,
"Label Propagation (5% labeled, 5,000 rows)",0.24459367175051216,0.24355895754526585,0.24459367175051216,,
Soft Voting (LR + SVM + NB),0.2194400182107899,0.21797204858686609,0.2194400182107899,,
Hard Voting (all models),0.47564306851809696,0.46221472587073115,0.47564306851809696,,
Stacking (meta-LR),0.7206920100159344,0.7197659077972728,0.7206920100159344,,
K-Means,,,,0.27669018893694514,0.05123991287998475
GMM,,,,0.2715684042795356,-0.15173634886741638
